Ojibwe	English	Speaker	Link
Geyaabi 'o apii bagakaabi mindimoowenh gaa-gashkigwaasod.	The elderly lady who sews can still see clearly.	nj	https://ojibwe.lib.umn.edu/main-entry/bagakaabi-vai
Baazagoshin ogidigwaang.	He fell and scraped his knee.	gh	https://ojibwe.lib.umn.edu/main-entry/ogidig-nid
Omashkikiikaadaan i'iw ogidig gaa-bishagisidood.	He's putting medicine on the knee he skinned.	es	https://ojibwe.lib.umn.edu/main-entry/ogidig-nid
Gidaa-andawaabandaan ina i'iw jiishada'igan. Niwii-piinichige.	Would you go find a broom? I'm going to clean up.	rg	https://ojibwe.lib.umn.edu/main-entry/jiishada-igan-ni
Jiishada'igan aabajitoon ji-jiishada'aman gaa-gii-pinizaman.	Use a broom to sweep up what you drop when you're cooking.	nj	https://ojibwe.lib.umn.edu/main-entry/jiishada-igan-ni
Mii go booch gii-kashki'od awe inday aana-gii-kitaakwapinag.	My dog got free even though I'd tied him up.	es	https://ojibwe.lib.umn.edu/main-entry/gitaakwapizh-vta
Maaninaagwad, indigo daa-gii-kimiwan.	It looks bad, like it might rain.	nj	https://ojibwe.lib.umn.edu/main-entry/maaninaagwad-vii
Nawaj gaanda'amiidaa. Giga-nagajibizomin ishkodewidaabaan.	Let's walk a little faster. We'll miss the train.	nj	https://ojibwe.lib.umn.edu/main-entry/gaanda-amii-vai
Miskwaamagad mbiizikawaagan.	My coat/jacket is red	ls	https://ojibwe.lib.umn.edu/main-entry/miskwaa-vii
Naawi-baawitig inaaboono gaa-niishiboonod.	The one shooting the rapids goes down in the middle.	nj	https://ojibwe.lib.umn.edu/main-entry/inaaboono-vai
Naawi-baawitig babiikwaadigose. Ganabaj asiniig gaa-babiikwaadigwewaad. Ishkwaya'ii ani-inaaboonodaa.	There's a rough ruffles in the middle of the rapids. I guess there's rocks under them. Let's go down on the edge.	nj	https://ojibwe.lib.umn.edu/main-entry/inaaboono-vai
Ogii-o-wiizingwaamaan i'... iniw ojiwaaman gaa-onji-nikanendid.	He went over and stayed with his friend -- that's why he was gone all night.	es	https://ojibwe.lib.umn.edu/main-entry/wiizingwaam-vta
Aapiji da-baatemagad noongom ji-niibing.	It will be pretty dry this summer.	es	https://ojibwe.lib.umn.edu/main-entry/niibin-vii
Waabooz waabishkizi gii-biboong; ozaawizi gii-niibing.	A snowshoe hare is white in the winter, brown in the summer.	nj	https://ojibwe.lib.umn.edu/main-entry/niibin-vii
Niwii'-naajibizotoon waa'-naawakwe-miijiyaan.	I'm going to take the car and go pick up my lunch.	nj	https://ojibwe.lib.umn.edu/main-entry/naajibizotoon-vti2
Otigwaanining ogii'-inaganaamaan gii-bishigwaganaandang bikwaakwad. Ganabaj ogii-kiiwashkweganaamaan.	He hit him in the head when he missed the ball. I think he knocked him unconscious.	nj	https://ojibwe.lib.umn.edu/main-entry/bishigwaganaandan-vti
Agaasoonagad ninjiimaan. Wawiinge gokokwaa.	My canoe is small. It's very tippy.	nj	https://ojibwe.lib.umn.edu/main-entry/agaasoonagad-vii
Ogii'-agwaabiiginaan bashkwegin gaa-gii'-nookagwinjidood.	She pulled that hide out of the water after she got it soft.	nj	https://ojibwe.lib.umn.edu/main-entry/agwaabiiginan-vti
Odoogimaakandaan imaa bigiikaajigaadenig iwe miikana.	He's foreman on that project where they're tarring the road.	es	https://ojibwe.lib.umn.edu/main-entry/ogimaakandan-vti
Ogidaagonag bimose bizhiw.	A lynx walks on top of the snow.	gj	https://ojibwe.lib.umn.edu/main-entry/bizhiw-na
Bizhiw ningii-kimooji-wanii'igaag.	A lynx stole my trap.	nj	https://ojibwe.lib.umn.edu/main-entry/bizhiw-na
Maamaagon gibakwezhiganikaan jibwaa-biindaabika'wad wii-kiizhizwad.	Knead your bannock before you put it in the oven and cook it.	nj	https://ojibwe.lib.umn.edu/main-entry/maamaagon-vta
Gego gabeya'ii maamaagonaaken gibakwezhiganikaan. Da-mashkawijiishkiwagizi.	Don't knead your dough too long. It will harden up.	nj	https://ojibwe.lib.umn.edu/main-entry/maamaagon-vta
Niwiisagibinig mashkikiiwinini gii-maamaagonid gaa-izhi-wiisagendamaan.	The doctor hurt me when he was pressing on my sore.	nj	https://ojibwe.lib.umn.edu/main-entry/maamaagon-vta
BInaabidewag abinoojiinyag jibwaa-maajii-gikinoo'amawindwaa	Children (start to) loose their teeth before they start school.	nj	https://ojibwe.lib.umn.edu/main-entry/binaabide-vai
Gagwejiiwii a'aw ininiezhi-mashkawiziid,	That man tested his strength.	rg	https://ojibwe.lib.umn.edu/main-entry/mashkawizii-vai
Maamawi anokiiwag. Geget aapiji mashkawiziiwag enigoonsag.	They all work together. Ants are certainly very strong.	nj	https://ojibwe.lib.umn.edu/main-entry/mashkawizii-vai
Aapiji mashkawiziiwag indayag.	My team (of horses) is very powerful.	es	https://ojibwe.lib.umn.edu/main-entry/mashkawizii-vai
Gaawiin gii-maaminonendanzii gii-koopaji'aad iniw odayan.	He didn't realize he was mistreating his horse.	es	https://ojibwe.lib.umn.edu/main-entry/maaminonendam-vai2
Mii gii-maaminonendang mashi ashamaasig iniw odayan.	He realized that he hadn't feed his horse yet.	es	https://ojibwe.lib.umn.edu/main-entry/maaminonendam-vai2
Gii-noogibide iw waasamoo-jiimaanens.	The motor boat stopped.	es	https://ojibwe.lib.umn.edu/main-entry/noogibide-vii
Ningaandinaamin i'iw odaabaan gii-noogibideg.	We pushed the car when it couldn't start.	rg	https://ojibwe.lib.umn.edu/main-entry/noogibide-vii
Gitwen igo odawi'aan zhooniyaan.	She lent him money even though she didn't want to.	nj	https://ojibwe.lib.umn.edu/main-entry/gitwen-adv-man
Gitwen igo gaa-o-izhi-anokiiyaan miziwe wiisagendamaan.	I went to work even though I was sore all over.	lw	https://ojibwe.lib.umn.edu/main-entry/gitwen-adv-man
Gitwen igo gaa-izhi-izhaayaan.	I went anyway.	gh	https://ojibwe.lib.umn.edu/main-entry/gitwen-adv-man
Ningii'-noondam gii-madwe-bookogaadeshing.	I heard that he fell and broke his leg.	nj	https://ojibwe.lib.umn.edu/main-entry/bookogaadeshin-vai
Ningiiwedaabaanigoo. Ganabaj ningii-pookogaadeshin.	They're pulling me home (on the sled). I think I broke my leg.	nj	https://ojibwe.lib.umn.edu/main-entry/bookogaadeshin-vai
Niwiidabimaag igi ikwewag iwidi namadabiwaad jiigi-... zaaga'iganiing.	I'm sitting with the ladies near the lake shore.	rg	https://ojibwe.lib.umn.edu/main-entry/wiidabim-vta
Maamawi wiiji'ididaa dazhiikamang gidinwewininaan.	Let's work together revitalizing our language.	nj	https://ojibwe.lib.umn.edu/main-entry/inwewin-ni
Ominwapikaanaan odaanisensan wii'-ando-gikinoo'amawimind.	She braids her little daughter's hair nicely for school.	nj	https://ojibwe.lib.umn.edu/main-entry/minwapikaazh-vta
Ashi 'aw asemaa.	Put the tobacco down. [pointing to a place]	es	https://ojibwe.lib.umn.edu/main-entry/ashi-vta
Aandi awe diba'igiiziswaan. Omaa ningii-asaaban.	Where is the clock? I put it here.	rg	https://ojibwe.lib.umn.edu/main-entry/ashi-vta
Biinjidoon ogii-asaan iniwen asiniinsan.	She put a stone in her mouth. [of a child]	rg	https://ojibwe.lib.umn.edu/main-entry/ashi-vta
Gaawiin gegoo gii-apisijigesii. Mii go bizaan gaa-izhi-asaad imaa mitaabik ini obakwezhiganiman.	He didn't put anything under it. He just set his bread on the bare metal.	es	https://ojibwe.lib.umn.edu/main-entry/ashi-vta
Aaniish apii waa-naadiyin iwe bakijiiga'igan gaa-awi'iweyin.	When are you going to go after that tent that you loaned out?	es	https://ojibwe.lib.umn.edu/main-entry/aaniish-apii-adv-inter-18f7c89a-93de-427f-9879-25d8d19b4efe
Gii-kashki'ewizi ningozis gii-izhaad gabe-gikendaasoowigamigong.	My son was able to go to college.	rg	https://ojibwe.lib.umn.edu/main-entry/gabe-gikendaasoowigamig-ni
Makade-ozaawadowewag amikwag, ningoding gaye waabishkadowewag.	Beavers have dark brown fur and sometimes white fur.	nj	https://ojibwe.lib.umn.edu/main-entry/waabishkadowe-vai
Ambe shke ataagewigamigong izhaadaa. | Booshke giin.	Come on, let's go to the casino. | It's up to you.	es	https://ojibwe.lib.umn.edu/main-entry/ataagewigamig-ni
Ingii-o-wanataas iwidi ataagewigamigong.	I went and lost money at the casino.	es	https://ojibwe.lib.umn.edu/main-entry/ataagewigamig-ni
Mii imaa ataagewigamigong endanendaagozid.	Well, they think he's in the casino.	es	https://ojibwe.lib.umn.edu/main-entry/ataagewigamig-ni
Dagapii waabang giga-awi'aazomin gidoodaabaan.	I'm going to borrow your car tomorrow.	nj	https://ojibwe.lib.umn.edu/main-entry/awi-aazom-vta
Ogiji-desabiwin apigaabawin.	Stand on the chair!	nj	https://ojibwe.lib.umn.edu/main-entry/ogiji-desabiwin-adv-loc
Awashishkode namadabi a'aw akiwenzii. Onzaam gizhideni besho namadabid.	The old man sits far away from the fire. If he sits close, it's too hot for him.	rg	https://ojibwe.lib.umn.edu/main-entry/akiwenzii-na
Akiwenziiyag ataadiwag.	The old men are playing cards.		https://ojibwe.lib.umn.edu/main-entry/akiwenzii-na
Akiwenziiying izhinaagozi.	He looks like an old man.	es	https://ojibwe.lib.umn.edu/main-entry/akiwenzii-na
Ogii-wiikomaan ji-bi-gaagiigidonid iniwen akiwenziiyan.	He invited that old man to come and speak.	es	https://ojibwe.lib.umn.edu/main-entry/akiwenzii-na
Gidaa-ozhitoon ina go agwaakwa'igan ge-aabajitooyaan.	Can you make that sign that I want to use?	es	https://ojibwe.lib.umn.edu/main-entry/ozhitoon-vti2
Ninitaa-ozhitoon anishinaabe-ziinzibaakwad.	I know how to make maple sugar.	rg	https://ojibwe.lib.umn.edu/main-entry/ozhitoon-vti2
Jiigishkode nindagoonaa a'aw akik ozhitooyaan naboob.	I hang the kettle close to the fire when I make soup.	rg	https://ojibwe.lib.umn.edu/main-entry/ozhitoon-vti2
Gagwe-minotoon iwe zhiiwaagamizigan wezhitooyin.	Try and make the syrup you're making good.	es	https://ojibwe.lib.umn.edu/main-entry/ozhitoon-vti2
Ozhitoon gibashkweginwekizinan jibwaa-maajii-niimi'iding.	Make your moccasins before the powwow season starts.	nj	https://ojibwe.lib.umn.edu/main-entry/ozhitoon-vti2
Eyedawaya'ii agwapizo 'aw zenibaanh.	The ribbon is tied on on both sides.	es	https://ojibwe.lib.umn.edu/main-entry/agwapizo-vai
Ge niinawind ningii'-aanikanootaamin ikidowinan.	We helped translate the words too.	nj	https://ojibwe.lib.umn.edu/main-entry/geniinawind-pron-per
Aaniin epiitaanimak.	How strong is the wind?	lw	https://ojibwe.lib.umn.edu/main-entry/apiitaanimad-vii
Aaniish enigokwadezid.	How wide is it? (something animate)	es	https://ojibwe.lib.umn.edu/main-entry/inigokwadezi-vai
Bakwezhiganaaboo niwii-tagonaan indoopiniiming.	I'm going to put gravy on my potatoes.	es	https://ojibwe.lib.umn.edu/main-entry/bakwezhiganaaboo-ni
Gagwanisagendaagozi awe; onzaam apane bagoshi'iweshki.	He' s kind of an undesirable person because he's always begging someone for something.	es	https://ojibwe.lib.umn.edu/main-entry/bagoshi-iweshki-vai
Waaboozoog iwidi niimagoojinoog.	The rabbits are there hanging out.	es	https://ojibwe.lib.umn.edu/main-entry/waabooz-na
Giiziz daga a'aw waabooz.	Please cook the rabbit.	rg	https://ojibwe.lib.umn.edu/main-entry/waabooz-na
Giizizamaw daga ini waaboozoon.	Please cook the rabbit for him.	rg	https://ojibwe.lib.umn.edu/main-entry/waabooz-na
Nookizo a'aw waabooz.	The rabbit is cooked soft.	rg	https://ojibwe.lib.umn.edu/main-entry/waabooz-na
Mii igo endaso-mamaajiid ezhi-baashkimaagozid.	Every time he moved he let off a stink.	es	https://ojibwe.lib.umn.edu/main-entry/baashkimaagozi-vai
Gagiipizi eyedawininj.	He's chapped on both hands.	es	https://ojibwe.lib.umn.edu/main-entry/eyedawininj-adv-loc
Oshki-baashkizigan 'i dekonamanmii na go ji-nagadinamamban	The new gun you're holding, would you be able to handle it?	es	https://ojibwe.lib.umn.edu/main-entry/dakonan-vti
Obashkwada'waan iniw omandaaminiman imaa gitigaaning.	He's hoeing his corn in the garden.	es	https://ojibwe.lib.umn.edu/main-entry/gitigaan-ni
Megwaa go bashkwada'ang ogitigaan ezhi-maaminonendang gii-poodaakwed wiiyaas.	While he was hoeing his garden he remembered he'd put some meat on to boil.	es	https://ojibwe.lib.umn.edu/main-entry/gitigaan-ni
Waa, gichi-mindido naa aw gookoosh.	Boy, that sure is a huge pig!	es	https://ojibwe.lib.umn.edu/main-entry/gookoosh-na
Gii-minozo awe misise gaa-ayaawangid.	The turkey we had was cooked just right.	es	https://ojibwe.lib.umn.edu/main-entry/minozo-vai
Ogii-webaasindoonan ini giziibiiga'iganan ani-maa... gaa-ani-maajiidood.	He let the laundry blow off (the back of his pickup) when he took it away.	es	https://ojibwe.lib.umn.edu/main-entry/webaasindoon-vti2
Gagiizhibaabidewan iniwen odaabaanan gegwejikanidiimagakin.	The race cars are going around and around.	es	https://ojibwe.lib.umn.edu/main-entry/gagiizhibaabide-vii
Giishpin gabeya'ii agoodooyan giwiiwakwaan agwajiing, da-waabijiiyaate.	If you leave your hat hanging outside for a long time, the color will fade.	nj	https://ojibwe.lib.umn.edu/main-entry/waabijiiyaate-vii
Zaaziibiskaaj bimi-bazigwii.	He reluctantly got up to go.	gj	https://ojibwe.lib.umn.edu/main-entry/zaaziibiskaaj-adv-man
Zaaziibiskaaj indoonishkaa.	I get up real slowly (in the morning).	gh	https://ojibwe.lib.umn.edu/main-entry/zaaziibiskaaj-adv-man
Izhi-gwayak inikwenin.	Hold your head straight ahead.	es	https://ojibwe.lib.umn.edu/main-entry/gwayak-adv-man
Mii 'iw gwayak ekwaademagak.	That's the right way it is sewn.	rg	https://ojibwe.lib.umn.edu/main-entry/gwayak-adv-man
Gwayak ina inaadizi ji-debwetawindiban.	Is she honest enough to be trusted?	nj	https://ojibwe.lib.umn.edu/main-entry/gwayak-adv-man
Ozaawaakidewan mashkosiinsan.	The grass is brown (from the heat).	nj	https://ojibwe.lib.umn.edu/main-entry/ozaawaakide-vii
Giziininjiin jibwaa-wiisiniyan. Giwiinininjii.	Wash your hands before you eat. They're dirty.	nj	https://ojibwe.lib.umn.edu/main-entry/giziininjii-vai
Akawe giziininjiin; giga-wiinibidoon wiiyaas jibwaa-odaapinaman	Wash your hands first before you pick up the meat or you might get it dirty.	nj	https://ojibwe.lib.umn.edu/main-entry/giziininjii-vai
Obiinjiweba'aan gaa-zhooshkwaada'ed	The (hockey) player scores.	nj	https://ojibwe.lib.umn.edu/main-entry/biinjiweba-an-vti
Gitigewinini omaajinizhikawaa' obizhikiima'.	The farmer is chasing his cattle (out of the pasture).	nj	https://ojibwe.lib.umn.edu/main-entry/bizhiki-na
Gii-niigosin iwe mikwamiiwinaagaans imaa gaa-onjibideg a... adoopowinaakong.	The glass shattered when it fell off the table.	es	https://ojibwe.lib.umn.edu/main-entry/mikwamiiwinaagaans-ni
Agwaasidoon ginitiikaan jibwaa-mashkawaagamideg.	Set your tea off the fire before it gets strong.	nj	https://ojibwe.lib.umn.edu/main-entry/nitiikaan-ni
Ojibwewibii'an o'owe.	Write this in Ojibwe.	es	https://ojibwe.lib.umn.edu/main-entry/ojibwewibii-an-vti
Gii-sagaswe'iwe awe ogimaa anda-gikendang enaasamiiying	The chief called a meeting to find out about what is ahead for us.	es	https://ojibwe.lib.umn.edu/main-entry/zagaswe-iwe-vai
Mii miinawaa wiiba ji-odisaabamang awe aabita-niibino-giizis.	Pretty soon we'll see July again.	es	https://ojibwe.lib.umn.edu/main-entry/odisaabam-vta
Aaniin ekobiid ginibinaadwaaganakik.	How full is your water pail?	nj	https://ojibwe.lib.umn.edu/main-entry/nibinaadwaaganakik-na
Ogii-pagijwebinaan iwe omitigwaab gii-tabazi'aad ini mitigoon bengishininid.	He dropped his bow when he jumped out of the way of the falling tree.	es	https://ojibwe.lib.umn.edu/main-entry/dabazi-vta
Naawaajiwan badakidoon giwanii'igan.	Set up your trap in the middle of the overflow.	nj	https://ojibwe.lib.umn.edu/main-entry/naawaajiwan-adv-loc
Mii 'iw wayiiba ji-niisaandawed awe epakwed. Indaga ozisidoon iwe adoopowin.	The guy that's roofing will be climbing down pretty soon. Go set the table.	es	https://ojibwe.lib.umn.edu/main-entry/niisaandawe-vai
Minogwaasowag igi ikwewag gashkigwaasowaad.	Those women sew real nice when they sew.	rg	https://ojibwe.lib.umn.edu/main-entry/gashkigwaaso-vai
Bimaaabiigisin 'i dibaabiiginigan iwidi agaamikana.	The measuring tape is run along across the road.	es	https://ojibwe.lib.umn.edu/main-entry/dibaabiiginigan-ni
Mishawikwam awi-bagidaabiin.	Set a night line right out on the ice.	nj	https://ojibwe.lib.umn.edu/main-entry/bagidaabii-vai
Ogaashiboodoon owewebanaabaan wii'-ando-bagidaabiid.	He's sharpening his hooks to go set a line.	nj	https://ojibwe.lib.umn.edu/main-entry/bagidaabii-vai
Ogii-piisibidoon 'i mazina'igan.	He shredded the document.	es	https://ojibwe.lib.umn.edu/main-entry/biisibidoon-vti2
Biinjitawag gii-piindoodewan iniwen zagimen.	The mosquito crawled in his ear.	rg	https://ojibwe.lib.umn.edu/main-entry/biinjitawag-adv-loc
Biinjitawag danamandam.	She's got an earache.	nj	https://ojibwe.lib.umn.edu/main-entry/biinjitawag-adv-loc
Gii-kiizizo awe waabooz.	That rabbit is cooked.	es	https://ojibwe.lib.umn.edu/main-entry/giizizo-vai
Mii gii-kiizizod a'aw giigoonh.	The fish is done (cooking).	rg	https://ojibwe.lib.umn.edu/main-entry/giizizo-vai
Gakiiwewidoon waasigani-bimidewi-biiwaabikoon.	Carry the gas cans over the portage.	nj	https://ojibwe.lib.umn.edu/main-entry/gakiiwewidoon-vti2
Wiipendiwag igiw ikwezensag.	The girls are sleeping together.	rg	https://ojibwe.lib.umn.edu/main-entry/wiipendiwag-vai
Endaso-dibik iko ninganawaabandaan nimazinaatesijigan.	Every night I watch my television.	rg	https://ojibwe.lib.umn.edu/main-entry/ganawaabandan-vti
Omaa onji-ganawaabandan.	Watch it from here.	nj	https://ojibwe.lib.umn.edu/main-entry/ganawaabandan-vti
Bi-zaagidaapiwag gaa'-ishkwaa-ganawaabandamowaad enaateseg.	They came out laughing after they watched the movie.	nj	https://ojibwe.lib.umn.edu/main-entry/ganawaabandan-vti
Ogidadoopowinaak ashi gibakwezhiganikaan.	Put your bannock on top of the table.	nj	https://ojibwe.lib.umn.edu/main-entry/ogidadoopowinaak-adv-loc
Bikwaakwadoshin moose. Gaawiin bimaabiigishinzii.	The worm is curled up in a ball. It isn't straight out.	nj	https://ojibwe.lib.umn.edu/main-entry/bikwaakwadoshin-vai
Gego bizikenimaaken. Mii go baapiisikaad biinish igo omaa ji-bi-dagoshing.	Don't worry about him. He's making his way over here. He'll be here in time.	es	https://ojibwe.lib.umn.edu/main-entry/dagoshin-vai
Noomaya go gii-pi-dagoshin.	He got here a little while ago.	es	https://ojibwe.lib.umn.edu/main-entry/dagoshin-vai
Nimbii'aa noozhishenh. Aweniban ji-bi-dagoshing.	I'm waiting for my grandson. He didn't come.	rg	https://ojibwe.lib.umn.edu/main-entry/dagoshin-vai
Gaawiin gosha gii-tagoshinziin.	He didn't arrive yet.	rg	https://ojibwe.lib.umn.edu/main-entry/dagoshin-vai
Gomaa go apii da-dagoshin.	He'll be here when he gets here.	nj	https://ojibwe.lib.umn.edu/main-entry/dagoshin-vai
Wiiba go gidaa-bi-dagoshin.	You should come early.	nj	https://ojibwe.lib.umn.edu/main-entry/dagoshin-vai
Zhemaag igo gidaa-giizhizekwe. Wiiba zhigwa da-dagoshinoog waa-pi-wiisiniwaad.	You should start cooking right away. The ones coming to eat will be here soon.	nj	https://ojibwe.lib.umn.edu/main-entry/dagoshin-vai
Degoshinaan endaayaan, ningii-metasinaag niniijaanisag.	When I got home, I didn't find my kids there.	rg	https://ojibwe.lib.umn.edu/main-entry/dagoshin-vai
Mii zhigwa gii-pagamibideg 'iw ishkodewidaabaan.	The train has arrived.	es	https://ojibwe.lib.umn.edu/main-entry/ishkodewidaabaan-ni
Gidaa-gagwe-minjimapidoonan ini mashkosiwan jibwaa-maajiidooying.	Before we take that hay out of here, you'd better tie it down good.	es	https://ojibwe.lib.umn.edu/main-entry/mashkosiw-ni
Madweyaakide iwe gichi-mashkosiw zekideg.	You can hear the hay field crackling as it burns.	es	https://ojibwe.lib.umn.edu/main-entry/mashkosiw-ni
Ogiishkizhamowaan iniw oosan omashkosiinsimini.	He mowed his father's grass.	es	https://ojibwe.lib.umn.edu/main-entry/mashkosiw-ni
Ogii-taadozhaan 'i mashkimod gaa-aapida'oodenig wii-paakinang.	He cut open the sack that was tied into in knots in order to open it.	es	https://ojibwe.lib.umn.edu/main-entry/baakinan-vti
Daga baakinan dakaasinjigan onzaam gizhide omaa biindig jibwaa-giiwashkweyaakizod gookomisinaan.	Please turn on the air conditioner because it is hot here inside before grandma gets dizzy from the heat.	nj	https://ojibwe.lib.umn.edu/main-entry/baakinan-vti
Gosidiwag igiweg bagite'igewininiwag waa-pagite'odiwaad.	The fighters  who are going to box are scared of each other.	es	https://ojibwe.lib.umn.edu/main-entry/gosidiwag-vai
Zanagizi bezhig awe inday. Aapiji goshkokaa.	One of my horses is hard to handle. He's really edgy.	es	https://ojibwe.lib.umn.edu/main-entry/goshkokaa-vai
Mii go aanawi gii-minoshing a'awe majiikiwis imaa ziindaamagak.	That battery did fit into the tight place.	es	https://ojibwe.lib.umn.edu/main-entry/minoshin-vai
Baataniinad mashkiki imaa waabashkikiing.	There's a lot of medicine in that swamp.	lsa	https://ojibwe.lib.umn.edu/main-entry/waabashkiki-ni
Gii-meshkwadoonamaadiwag iniw odoodaabaaniwaan wiijikiwenyan	He and his brother traded cars.	es	https://ojibwe.lib.umn.edu/main-entry/meshkwadoonamaadiwag-vai
Gii-meshkwadoonamaadiwag omiskwaanziganiwaa.	They traded roaches.	es	https://ojibwe.lib.umn.edu/main-entry/meshkwadoonamaadiwag-vai
Gii-noondese i'iw noomaabikinigan gaa-onji-gibichiwebinaad iniw akikoonsan.	He ran out of oil so that's why he stopped the engine.	es	https://ojibwe.lib.umn.edu/main-entry/noomaabikinigan-ni
Mamigoshkan manoomin ji-gidashkishkaman.	Work the rice with your feet to dehusk it.	nj	https://ojibwe.lib.umn.edu/main-entry/mamigoshkan-vti
Oname'aan odayan i'imaa gii-wiisininigwen. Nameshin.	He found signs that his dog must have been eating there. There were marks.	es	https://ojibwe.lib.umn.edu/main-entry/name-vta
Babaa-zaginikeba'idiwag	They're running around holding on to each other.	es	https://ojibwe.lib.umn.edu/main-entry/zaginikeba-idiwag-vai
Gii-saga'igaazo gizhe-manidoo imaa aazhideyaatigong	Jesus was nailed to a cross.	es	https://ojibwe.lib.umn.edu/main-entry/zaga-igaazo-vai
Zhingaatesidoon gimanoominim ji-bengwashkising.	Spread out your rice so it can get dry.	nj	https://ojibwe.lib.umn.edu/main-entry/bengwashkisin-vii
Geyaabi nibiiwashkaa manoomin. Baamaa bengwashkising giga-ando-bawa'aamin.	The rice stalks are still wet. We'll go and pick rice when they dry up.	nj	https://ojibwe.lib.umn.edu/main-entry/bengwashkisin-vii
Gaawiin gizhizhawiziisii awe gaa-anoonind gegwaanisagi-gichi-gitimishkid.	The one who was hired is not a workaholic, just a really lazy guy.	es	https://ojibwe.lib.umn.edu/main-entry/gitimishki-vai
Oshkiniigikweg iwidi mawinzowag noopiming.	The young women are picking berries over there in the woods.	rg	https://ojibwe.lib.umn.edu/main-entry/mawinzo-vai
Ningii-wiijiiwaanaan nimaamaayinaan gii-mawinzoyaang. Niin dash ningii-ni-gagiiginaanan iniw miinan memaangiminagakin.	We went with our mother blueberry picking and I picked the biggest ones.	rg	https://ojibwe.lib.umn.edu/main-entry/mawinzo-vai
Gabe-niibin nimbabaa-mawinz.	I've been going around picking berries all summer.	nj	https://ojibwe.lib.umn.edu/main-entry/mawinzo-vai
Ningii'-wiisagigidigweshin gaa-onji-maakiseyaan.	I hurt my knee so that's why I'm limping.	nj	https://ojibwe.lib.umn.edu/main-entry/wiisagigidigweshin-vai
Zinigobinidizo gaa-gii'-izhi-wiisagigidigweshing.	He rubs his knee where he got hurt.	nj	https://ojibwe.lib.umn.edu/main-entry/wiisagigidigweshin-vai
Giziiyaabika'igan aabajitoon wii-pengwaabika'aman gidoonaaganan.	Use a dish towel when you're going to dry your dishes.	nj	https://ojibwe.lib.umn.edu/main-entry/bengwaabika-an-vti
Ashki-manoomin ningii-kaapizaan zhebaa.	I parched the raw rice this morning.	nj	https://ojibwe.lib.umn.edu/main-entry/gaapizan-vti
Mitaabik dazhwegisidoon ji-baateg.	Spread it there on the rock to dry.	nj	https://ojibwe.lib.umn.edu/main-entry/mitaabik-adv-loc
Mii 'iw gii-paataashkined a'awe gaa-shiibaayooded imaa nibaaganing.	The one who crawled in under the bed got stuck.	es	https://ojibwe.lib.umn.edu/main-entry/zhiibaayoode-vai
Omaa bi-ina'oodoon.	Paddle this way.	es	https://ojibwe.lib.umn.edu/main-entry/ina-oodoo-vai
Ogii-ondami'aan iniw owiiwan aana-wii-baanizhaawenid.	He kept his wife busy although she wanted to filet fish.	es	https://ojibwe.lib.umn.edu/main-entry/ondami-vta
Ashi-nising izhiiginigaade iwe okikiwe'on na'inigaadeg.	The flag is folded thirteen times when it is put away.	es	https://ojibwe.lib.umn.edu/main-entry/na-inigaade-vii
Gaawesaa. Gaawiin ningii'-mikawaasii.	I failed to find him.	nj	https://ojibwe.lib.umn.edu/main-entry/gaawesa-pc-disc
Zhaagooj igo inendam wii'-izhichiged.	He's going to go ahead and do it anyway.	nj	https://ojibwe.lib.umn.edu/main-entry/zhaagooj-igo-adv-man
Owiipemaan odooshkabinoojiiyensiman.	She sleeps with her new-born baby.	nj	https://ojibwe.lib.umn.edu/main-entry/oshkabinoojiinh-na
Niwiinitigwaane. Niwii-kiziibiigitigwaane.	My hair is dirty. I'm going to wash it.	nj	https://ojibwe.lib.umn.edu/main-entry/wiinitigwaane-vai
Ogii'-ondamiikawaan odoodaabaanan gaa-onji-bezikaad zhebaa ningozis.	My son was busy working on his car and that's why he got here late this morning.	nj	https://ojibwe.lib.umn.edu/main-entry/bezikaa-vai
Andawaabandan i'iw gichi-gwaaba'igan.	Look for the Big Dipper.	es	https://ojibwe.lib.umn.edu/main-entry/andawaabandan-vti
Mii 'iw angwaamas gii-mikang 'iw endawaabandang.	He finally found what he was looking for.	es	https://ojibwe.lib.umn.edu/main-entry/andawaabandan-vti
Anaamaya'ii gii-inaabi andawaabandang ogiboodiyegwaazon.	He looked underneath for his trousers.	es	https://ojibwe.lib.umn.edu/main-entry/andawaabandan-vti
Agwanaateng odizhi-andawaabandaan waa-tanawinzod.	He's looking for shade where he can pick berries.	nj	https://ojibwe.lib.umn.edu/main-entry/andawaabandan-vti
Wiinge gosha naa ginoondesemin wiisiniwin. Gidaa-gii'-maa'ishkam ji-andawaabandaman ge-miijiyang.	Well we ran right out of food. You should have gone shopping to look for what we could eat.	nj	https://ojibwe.lib.umn.edu/main-entry/andawaabandan-vti
Naazibiidaa. Nibi andawaabandandaa.	Let's go down to the shore and get some water.	nj	https://ojibwe.lib.umn.edu/main-entry/andawaabandan-vti
Biinji-wiish danwewegamitoo amik.	A beaver is heard rippling the water inside the lodge	nj	https://ojibwe.lib.umn.edu/main-entry/biinji-wiish-adv-loc
Migizi gii-pimaashi.	An eagle soared by.	es	https://ojibwe.lib.umn.edu/main-entry/migizi-na
Gichi-mindido a'awe migizi o'omaa ge-gizhibaayaashid.	That bald eagle who is soaring around in the air is huge.	es	https://ojibwe.lib.umn.edu/main-entry/migizi-na
