ojibwe	english	speaker	fst_readings
Jiigi-gizhaabikizigan onji-baasan gidazhiganan.	Dry your socks near the stove.	nj	[{'word_form': 'jiigi-gizhaabikizigan', 'fst_analyses': ['jiigi-gizhaabikizigan+ADVLoc', 'PNLex/jiigi+gizhaabikizigan+NI+Sg']}, {'word_form': 'onji-baasan', 'fst_analyses': ['PVRel/onji+baasan+VTI+Imp+Sim+2SgSubj+0SgObj', 'PVRel/onji+baasan+VTI+Imp+Sim+2SgSubj+0PlObj']}, {'word_form': 'gidazhiganan', 'fst_analyses': ['azhigan+NI+Pl+2SgPoss']}, {'word_form': '.', 'fst_analyses': []}]
Mii iwidi gaa-pimi-inamog ozide-miikana jiigi-ziibi.	That's where the path goes, by the river.	es	[{'word_form': 'mii', 'fst_analyses': ['mii+ADVPred']}, {'word_form': 'iwidi', 'fst_analyses': ['iwidi+ADVLoc']}, {'word_form': 'gaa-pimi-inamog', 'fst_analyses': ['ChCnj+PVTense/gii+PVDir/bimi+inamon+VII+Cnj+Pos+Neu+0PlSubj', 'ChCnj+PVTense/gii+PVDir/bimi+inamon+VII+Cnj+Pos+Neu+0SgSubj', 'ChCnj+PVTense/gii+PVDir/bimi+inamo+VII+Cnj+Pos+Neu+0PlSubj', 'ChCnj+PVTense/gii+PVDir/bimi+inamo+VII+Cnj+Pos+Neu+0SgSubj', 'PVTense/gii+PVDir/bimi+inamon+VII+Pcp+Pos+Neu+0SgSubj+0SgHead', 'PVTense/gii+PVDir/bimi+inamo+VII+Pcp+Pos+Neu+0SgSubj+0SgHead']}, {'word_form': 'ozide-miikana', 'fst_analyses': ['ozide-miikana+NI+Sg']}, {'word_form': 'jiigi-ziibi', 'fst_analyses': ['jiigi-ziibi+ADVLoc', 'PNLex/jiigi+ziibi+NI+Sg']}, {'word_form': '.', 'fst_analyses': []}]
Mii imaa bemi-izhising oodena jiigi-zaaga'igan.	The town is by the lake.	es	"[{'word_form': 'mii', 'fst_analyses': ['mii+ADVPred']}, {'word_form': 'imaa', 'fst_analyses': ['imaa+ADVLoc']}, {'word_form': 'bemi-izhising', 'fst_analyses': ['ChCnj+PVDir/bimi+izhisin+VII+Cnj+Pos+Neu+0PlSubj', 'ChCnj+PVDir/bimi+izhisin+VII+Cnj+Pos+Neu+0SgSubj', 'PVDir/bimi+izhisin+VII+Pcp+Pos+Neu+0SgSubj+0SgHead']}, {'word_form': 'oodena', 'fst_analyses': ['oodena+NI+Sg']}, {'word_form': ""jiigi-zaaga'igan"", 'fst_analyses': [""jiigi-zaaga'igan+ADVLoc"", ""PNLex/jiigi+zaaga'igan+NI+Sg""]}, {'word_form': '.', 'fst_analyses': []}]"
Jiigi-aasamisag ate nibewin.	There's a bed next to the wall.	nj	[{'word_form': 'jiigi-aasamisag', 'fst_analyses': ['jiigi-aasamisag+ADVLoc', 'PNLex/jiigi+aasamisag+NI+Sg']}, {'word_form': 'ate', 'fst_analyses': ['ate+VII+Ind+Pos+Neu+0SgSubj']}, {'word_form': 'nibewin', 'fst_analyses': ['nibewin+NI+Sg']}, {'word_form': '.', 'fst_analyses': []}]
Gego izhaaken imaa jiigi-gizhaabikiziganing. Onzaamaabikide onzaam.	Don't go too close to that wood stove. It's kind of overheated.	es	[{'word_form': 'gego', 'fst_analyses': ['gego+ADVNeg']}, {'word_form': 'izhaaken', 'fst_analyses': ['izhaa+VAI+Imp+Prb+2SgSubj']}, {'word_form': 'imaa', 'fst_analyses': ['imaa+ADVLoc']}, {'word_form': 'jiigi-gizhaabikiziganing', 'fst_analyses': ['PNLex/jiigi+gizhaabikizigan+NI+Loc']}, {'word_form': '.', 'fst_analyses': []}, {'word_form': 'onzaamaabikide', 'fst_analyses': ['onzaamaabikide+VII+Ind+Pos+Neu+0SgSubj']}, {'word_form': 'onzaam', 'fst_analyses': ['onzaam+ADVQnt']}, {'word_form': '.', 'fst_analyses': []}]
Nametoo imaa odaabaaniiwigamigong gii-andawaabanjigegwen.	He left signs in the garage that he was looking for things.	es	[{'word_form': 'nametoo', 'fst_analyses': ['nametoo+VAI+Ind+Pos+Neu+3SgProxSubj']}, {'word_form': 'imaa', 'fst_analyses': ['imaa+ADVLoc']}, {'word_form': 'odaabaaniiwigamigong', 'fst_analyses': ['odaabaaniiwigamig+NI+Loc']}, {'word_form': 'gii-andawaabanjigegwen', 'fst_analyses': ['PVTense/gii+andawaabanjige+VAI+Cnj+Pos+Dub+3SgProxSubj']}, {'word_form': '.', 'fst_analyses': []}]
Onandomaandaan gaa-jaagidewimaatenig.	She's sniffing around for what smells like it's burning.	nj	[{'word_form': 'onandomaandaan', 'fst_analyses': ['nandomaandan+VTI+Ind+Pos+Neu+3SgProxSubj+0SgObj', 'andomaandan+VTI+Ind+Pos+Neu+3SgProxSubj+0SgObj']}, {'word_form': 'gaa-jaagidewimaatenig', 'fst_analyses': []}, {'word_form': '.', 'fst_analyses': []}]
Geyaabi babaamisewag aandegwag. Gaawiin mashi ando-biboonishisiiwag.	The crows are still flying around. They haven’t migrated for the winter yet.	nj	[{'word_form': 'geyaabi', 'fst_analyses': ['geyaabi+ADVTmp']}, {'word_form': 'babaamisewag', 'fst_analyses': ['babaamise+VAI+Ind+Pos+Neu+3PlProxSubj']}, {'word_form': 'aandegwag', 'fst_analyses': ['aandeg+NA+ProxPl']}, {'word_form': '.', 'fst_analyses': []}, {'word_form': 'gaawiin', 'fst_analyses': ['gaawiin+ADVNeg']}, {'word_form': 'mashi', 'fst_analyses': ['mashi+ADVTmp']}, {'word_form': 'ando-biboonishisiiwag', 'fst_analyses': ['PVLex/ando+biboonishi+VAI+Ind+Neg+Neu+3PlProxSubj']}, {'word_form': '.', 'fst_analyses': []}]
Ogii-noogibinaan ini odayan jibwaa-niminaakowaad.	She stopped her horse before they got on the ice.	es	[{'word_form': 'ogii-noogibinaan', 'fst_analyses': ['PVTense/gii+noogibizh+VTA+Ind+Pos+Neu+3SgProxSubj+3PlObvObj', 'PVTense/gii+noogibizh+VTA+Ind+Pos+Neu+3SgProxSubj+3SgObvObj']}, {'word_form': 'ini', 'fst_analyses': ['ini+PRONDem+NA+ObvPl', 'ini+PRONDem+NA+ObvSg', 'ini+PRONDem+NI+Pl']}, {'word_form': 'odayan', 'fst_analyses': ['day+NAD+ObvSg+3SgProxPoss', 'day+NAD+ObvPl+3SgProxPoss', 'ayaan+VTI+Ind+Pos+Neu+3SgProxSubj+0SgObj']}, {'word_form': 'jibwaa-niminaakowaad', 'fst_analyses': ['PVTense/jibwaa+niminaako+VAI+Cnj+Pos+Neu+3PlProxSubj']}, {'word_form': '.', 'fst_analyses': []}]
Aaniish enamog 'iw miikana.	How is that road?	es	"[{'word_form': 'aaniish', 'fst_analyses': ['aaniish+ADVInter']}, {'word_form': 'enamog', 'fst_analyses': ['ChCnj+inamon+VII+Cnj+Pos+Neu+0PlSubj', 'ChCnj+inamon+VII+Cnj+Pos+Neu+0SgSubj', 'ChCnj+inamo+VII+Cnj+Pos+Neu+0PlSubj', 'ChCnj+inamo+VII+Cnj+Pos+Neu+0SgSubj', 'inamon+VII+Pcp+Pos+Neu+0SgSubj+0SgHead', 'inamo+VII+Pcp+Pos+Neu+0SgSubj+0SgHead']}, {'word_form': ""'iw"", 'fst_analyses': [""'iw+PRONDem+NI+Sg""]}, {'word_form': 'miikana', 'fst_analyses': ['miikana+NI+Sg']}, {'word_form': '.', 'fst_analyses': []}]"
Maanamonoon iniw miikanan.	The roads are bad.	es	[{'word_form': 'maanamonoon', 'fst_analyses': ['maanamon+VII+Ind+Pos+Neu+0PlSubj']}, {'word_form': 'iniw', 'fst_analyses': ['iniw+PRONDem+NA+ObvPl', 'iniw+PRONDem+NA+ObvSg', 'iniw+PRONDem+NI+Pl']}, {'word_form': 'miikanan', 'fst_analyses': ['miikana+NI+Pl']}, {'word_form': '.', 'fst_analyses': []}]
Aabiding iidog gii-pabimose 'aw mindimooyenh imaa miikanaang.	Once upon a time there was an old lady walking along on the road.	es	"[{'word_form': 'aabiding', 'fst_analyses': ['aabiding+ADVTmp']}, {'word_form': 'iidog', 'fst_analyses': ['iidog+PCAsp']}, {'word_form': 'gii-pabimose', 'fst_analyses': ['PVTense/gii+babimose+VAI+Ind+Pos+Neu+3SgProxSubj']}, {'word_form': ""'aw"", 'fst_analyses': [""'aw+PRONDem+NA+ProxSg""]}, {'word_form': 'mindimooyenh', 'fst_analyses': ['mindimooyenh+NA+ProxSg']}, {'word_form': 'imaa', 'fst_analyses': ['imaa+ADVLoc']}, {'word_form': 'miikanaang', 'fst_analyses': ['miikana+NI+Loc']}, {'word_form': '.', 'fst_analyses': []}]"
Miikanaang izhi-wanii'amaw amik.	Set your trap for a beaver on its trail.	nj	"[{'word_form': 'miikanaang', 'fst_analyses': ['miikana+NI+Loc']}, {'word_form': ""izhi-wanii'amaw"", 'fst_analyses': [""PVRel/izhi+wanii'amaw+VTA+Imp+Sim+2SgSubj+3PlProxObj"", ""PVRel/izhi+wanii'amaw+VTA+Imp+Sim+2SgSubj+3SgProxObj""]}, {'word_form': 'amik', 'fst_analyses': ['amik+NA+ProxSg']}, {'word_form': '.', 'fst_analyses': []}]"
Ogii-pabaa-gikinawaaji'aawaan iniwen mitigoon ge-giishkizhomind.	They went around marking the trees they were going to cut down.	es	"[{'word_form': ""ogii-pabaa-gikinawaaji'aawaan"", 'fst_analyses': [""PVTense/gii+PVDir/babaa+gikinawaaji'+VTA+Ind+Pos+Neu+3PlProxSubj+3SgObvObj"", ""PVTense/gii+PVDir/babaa+gikinawaaji'+VTA+Ind+Pos+Neu+3PlProxSubj+3PlObvObj""]}, {'word_form': 'iniwen', 'fst_analyses': ['iniwen+PRONDem+NA+ObvPl', 'iniwen+PRONDem+NA+ObvSg', 'iniwen+PRONDem+NI+Pl']}, {'word_form': 'mitigoon', 'fst_analyses': ['mitig+NA+ObvPl', 'mitig+NA+ObvSg', 'mitig+NI+Pl']}, {'word_form': 'ge-giishkizhomind', 'fst_analyses': ['ChCnj+PVTense/daa+giishkizhwi+VTA+Cnj+Pos+Neu+XSubj+3PlObvObj', 'ChCnj+PVTense/daa+giishkizhwi+VTA+Cnj+Pos+Neu+XSubj+3SgObvObj', 'ChCnj+PVTense/daa+giishkizh+VTA+Cnj+Pos+Neu+XSubj+3PlObvObj', 'ChCnj+PVTense/daa+giishkizh+VTA+Cnj+Pos+Neu+XSubj+3SgObvObj', 'ChCnj+PVTense/ga+giishkizhwi+VTA+Cnj+Pos+Neu+XSubj+3PlObvObj', 'ChCnj+PVTense/ga+giishkizhwi+VTA+Cnj+Pos+Neu+XSubj+3SgObvObj', 'ChCnj+PVTense/ga+giishkizh+VTA+Cnj+Pos+Neu+XSubj+3PlObvObj', 'ChCnj+PVTense/ga+giishkizh+VTA+Cnj+Pos+Neu+XSubj+3SgObvObj']}, {'word_form': '.', 'fst_analyses': []}]"
Indaga o-binibidoon ini apishimoniiginan.	Go take the sheets down (off the line).	es	[{'word_form': 'indaga', 'fst_analyses': ['indaga+PCDisc']}, {'word_form': 'o-binibidoon', 'fst_analyses': ['PVDir/o+binibidoon+VTI+Imp+Sim+2SgSubj+0SgObj', 'PVDir/o+binibidoon+VTI+Imp+Sim+2SgSubj+0PlObj']}, {'word_form': 'ini', 'fst_analyses': ['ini+PRONDem+NA+ObvPl', 'ini+PRONDem+NA+ObvSg', 'ini+PRONDem+NI+Pl']}, {'word_form': 'apishimoniiginan', 'fst_analyses': ['apishimoniigin+NI+Pl']}, {'word_form': '.', 'fst_analyses': []}]
Ingii-nanawiz aana-... aana-gii-kiiwaseyaan. Ingii-waniikenan indanwiiman.	I didn't have very good luck when I went hunting. I forgot my shells.	es	[{'word_form': 'ingii-nanawiz', 'fst_analyses': ['PVTense/gii+nanawizi+VAI+Ind+Pos+Neu+1SgSubj']}, {'word_form': 'aana-', 'fst_analyses': ['PVTense/aana+']}, {'word_form': '...', 'fst_analyses': []}, {'word_form': 'aana-gii-kiiwaseyaan', 'fst_analyses': []}, {'word_form': '.', 'fst_analyses': []}, {'word_form': 'ingii-waniikenan', 'fst_analyses': ['PVTense/gii+waniiken+VAIO+Ind+Pos+Neu+1SgSubj+3SgProxObj', 'PVTense/gii+waniiken+VAIO+Ind+Pos+Neu+1SgSubj+0PlObj']}, {'word_form': 'indanwiiman', 'fst_analyses': ['anwi+NI+Poss+Pl+1SgPoss']}, {'word_form': '.', 'fst_analyses': []}]
Ningii'-nanawiz gii-naadagweyan. Gaawiin awiya ningii'-nagwaanaasii. Gaawiin gegoo ningii'-nagwaadanziin.	I was skunked checking my snares. I didn't snare anybody. I didn't snare anything.	nj	"[{'word_form': ""ningii'-nanawiz"", 'fst_analyses': [""PVTense/gii'+nanawizi+VAI+Ind+Pos+Neu+1SgSubj""]}, {'word_form': 'gii-naadagweyan', 'fst_analyses': ['PVTense/gii+naadagwe+VAI+Cnj+Pos+Neu+2SgSubj']}, {'word_form': '.', 'fst_analyses': []}, {'word_form': 'gaawiin', 'fst_analyses': ['gaawiin+ADVNeg']}, {'word_form': 'awiya', 'fst_analyses': ['awiya+PRONIndf+NA']}, {'word_form': ""ningii'-nagwaanaasii"", 'fst_analyses': [""PVTense/gii'+nagwaazh+VTA+Ind+Neg+Neu+1SgSubj+3SgProxObj""]}, {'word_form': '.', 'fst_analyses': []}, {'word_form': 'gaawiin', 'fst_analyses': ['gaawiin+ADVNeg']}, {'word_form': 'gegoo', 'fst_analyses': ['gegoo+PRONIndf+NI']}, {'word_form': ""ningii'-nagwaadanziin"", 'fst_analyses': [""PVTense/gii'+nagwaadan+VTI+Ind+Neg+Neu+1SgSubj+0SgObj""]}, {'word_form': '.', 'fst_analyses': []}]"
Ogii-naajinizha'aan omaa wenji-biitood awe... awegodowen dinowa.	He's waiting because he sent for something, I don't know what.	es	"[{'word_form': ""ogii-naajinizha'aan"", 'fst_analyses': [""PVTense/gii+naajinizha'an+VTI+Ind+Pos+Neu+3SgProxSubj+0SgObj""]}, {'word_form': 'omaa', 'fst_analyses': ['omaa+ADVLoc']}, {'word_form': 'wenji-biitood', 'fst_analyses': ['ChCnj+PVRel/onji+biitoon+VTI+Cnj+Pos+Neu+3SgProxSubj+0SgObj', 'ChCnj+PVRel/onji+biitoon+VTI+Cnj+Pos+Neu+3SgProxSubj+0PlObj']}, {'word_form': 'awe', 'fst_analyses': ['awe+PRONDem+NA+ProxSg']}, {'word_form': '...', 'fst_analyses': []}, {'word_form': 'awegodowen', 'fst_analyses': []}, {'word_form': 'dinowa', 'fst_analyses': ['dinowa+PRONSim+NA+ProxSg', 'dinowa+PRONSim+NI+Sg']}, {'word_form': '.', 'fst_analyses': []}]"
Ingii-waambandaan iwidi gichi-jiimaan gechi-mangadeyaag.	I saw a really wide big boat over there.	es	[{'word_form': 'ingii-waambandaan', 'fst_analyses': []}, {'word_form': 'iwidi', 'fst_analyses': ['iwidi+ADVLoc']}, {'word_form': 'gichi-jiimaan', 'fst_analyses': ['gichi-jiimaan+NI+Sg', 'PNLex/gichi+jiimaan+NI+Sg', 'PNLex/chi+jiimaan+NI+Sg+2SgPoss']}, {'word_form': 'gechi-mangadeyaag', 'fst_analyses': ['ChCnj+PVLex/gichi+mangadeyaa+VII+Cnj+Pos+Neu+0PlSubj', 'ChCnj+PVLex/gichi+mangadeyaa+VII+Cnj+Pos+Neu+0SgSubj', 'PVLex/gichi+mangadeyaa+VII+Pcp+Pos+Neu+0SgSubj+0SgHead']}, {'word_form': '.', 'fst_analyses': []}]
Ozhitamawishin ge-nawapoyaan.	Make a lunch for me to take along.	es	[{'word_form': 'ozhitamawishin', 'fst_analyses': ['ozhitamaw+VTA+Imp+Sim+2SgSubj+1SgObj']}, {'word_form': 'ge-nawapoyaan', 'fst_analyses': ['ChCnj+PVTense/daa+nawapo+VAI+Cnj+Pos+Neu+1SgSubj', 'ChCnj+PVTense/ga+nawapo+VAI+Cnj+Pos+Neu+1SgSubj']}, {'word_form': '.', 'fst_analyses': []}]
Mashkodeng ingii-pabaa-inaab ziigwanong.	I went scouting around on the prairie last spring. [from a song]	es	[{'word_form': 'mashkodeng', 'fst_analyses': ['mashkode+NI+Loc']}, {'word_form': 'ingii-pabaa-inaab', 'fst_analyses': ['PVTense/gii+PVDir/babaa+inaabi+VAI+Ind+Pos+Neu+1SgSubj']}, {'word_form': 'ziigwanong', 'fst_analyses': ['ziigwanong+ADVTmp']}, {'word_form': '.', 'fst_analyses': []}]
Gii-aapidendi awe gaa-kiiwooded ziigwanong.	The one who travelled last spring never came back.	es	[{'word_form': 'gii-aapidendi', 'fst_analyses': ['PVTense/gii+aapidendi+VAI+Ind+Pos+Neu+3SgProxSubj']}, {'word_form': 'awe', 'fst_analyses': ['awe+PRONDem+NA+ProxSg']}, {'word_form': 'gaa-kiiwooded', 'fst_analyses': []}, {'word_form': 'ziigwanong', 'fst_analyses': ['ziigwanong+ADVTmp']}, {'word_form': '.', 'fst_analyses': []}]
Obi-zaagidoomaan ogwizisensan. Dikinaaganing dakobizowan.	He came out carrying his little son on his back in a cradle board.	nj	[{'word_form': 'obi-zaagidoomaan', 'fst_analyses': ['PVDir/bi+zaagidoom+VTA+Ind+Pos+Neu+3SgProxSubj+3PlObvObj', 'PVDir/bi+zaagidoom+VTA+Ind+Pos+Neu+3SgProxSubj+3SgObvObj']}, {'word_form': 'ogwizisensan', 'fst_analyses': ['gwizis+NAD+Dim+ObvSg+3SgProxPoss', 'gwizis+NAD+Dim+ObvPl+3SgProxPoss']}, {'word_form': '.', 'fst_analyses': []}, {'word_form': 'dikinaaganing', 'fst_analyses': ['dikinaagan+NI+Loc']}, {'word_form': 'dakobizowan', 'fst_analyses': ['dakobizo+VAI+Cnj+Pos+Neu+2SgSubj', 'dakobizo+VAI+Ind+Pos+Neu+3SgObvSubj', 'dakobizo+VAI+Ind+Pos+Neu+3PlObvSubj']}, {'word_form': '.', 'fst_analyses': []}]
Gaawiin minwamanji'osii gaa-onji-nanaandomod.	He didn't feel good; that's why he went for treatment.	es	"[{'word_form': 'gaawiin', 'fst_analyses': ['gaawiin+ADVNeg']}, {'word_form': ""minwamanji'osii"", 'fst_analyses': [""minwamanji'o+VAI+Ind+Neg+Neu+3SgProxSubj""]}, {'word_form': 'gaa-onji-nanaandomod', 'fst_analyses': ['ChCnj+PVTense/gii+PVRel/onji+nanaandomo+VAI+Cnj+Pos+Neu+3SgProxSubj', 'PVTense/gii+PVRel/onji+nanaandomo+VAI+Pcp+Pos+Neu+3SgProxSubj+3SgProxHead', 'PVSub/gaa+PVRel/onji+nanaandomo+VAI+Cnj+Pos+Neu+3SgProxSubj']}, {'word_form': '.', 'fst_analyses': []}]"
Zhooniyaa nindayaawaa nizhooniyaa-mashkimodaang.	I have money in my wallet	es	[{'word_form': 'zhooniyaa', 'fst_analyses': ['zhooniyaa+NI+Sg', 'zhooniyaa+NA+ProxSg']}, {'word_form': 'nindayaawaa', 'fst_analyses': ['ayaaw+VTA+Ind+Pos+Neu+1SgSubj+3SgProxObj']}, {'word_form': 'nizhooniyaa-mashkimodaang', 'fst_analyses': ['zhooniyaa-mashkimod+NI+Loc+1SgPoss']}, {'word_form': '.', 'fst_analyses': []}]
Niminwamanji' igo.	I feel pretty good.	nj	"[{'word_form': ""niminwamanji'"", 'fst_analyses': [""minwamanji'o+VAI+Ind+Pos+Neu+1SgSubj""]}, {'word_form': 'igo', 'fst_analyses': ['igo+PCEmph']}, {'word_form': '.', 'fst_analyses': []}]"
Gaawiin igo niminomanji'osii.	I don't feel too good.	nj	"[{'word_form': 'gaawiin', 'fst_analyses': ['gaawiin+ADVNeg']}, {'word_form': 'igo', 'fst_analyses': ['igo+PCEmph']}, {'word_form': ""niminomanji'osii"", 'fst_analyses': [""minomanji'o+VAI+Ind+Neg+Neu+1SgSubj""]}, {'word_form': '.', 'fst_analyses': []}]"
Naanginigoziwag igiweg opiniig imaa baanzowaad mashkimodaang.	Those potatoes in the sack are light.	es	[{'word_form': 'naanginigoziwag', 'fst_analyses': ['naanginigozi+VAI+Ind+Pos+Neu+3PlProxSubj']}, {'word_form': 'igiweg', 'fst_analyses': ['igiweg+PRONDem+NA+ProxPl']}, {'word_form': 'opiniig', 'fst_analyses': ['opin+NA+ProxPl']}, {'word_form': 'imaa', 'fst_analyses': ['imaa+ADVLoc']}, {'word_form': 'baanzowaad', 'fst_analyses': ['ChCnj+biinzo+VAI+Cnj+Pos+Neu+3PlProxSubj']}, {'word_form': 'mashkimodaang', 'fst_analyses': ['mashkimod+NI+Loc']}, {'word_form': '.', 'fst_analyses': []}]
Aanawi go ogii-gikendaan ji-wekwaaseying iwe ziinzibaakwad.	He knew that we were going to run out of sugar but he didn't do anything about it.	es	[{'word_form': 'aanawi', 'fst_analyses': ['aanawi+ADVMan']}, {'word_form': 'go', 'fst_analyses': ['go+PCDisc']}, {'word_form': 'ogii-gikendaan', 'fst_analyses': ['PVTense/gii+gikendan+VTI+Ind+Pos+Neu+3SgProxSubj+0SgObj']}, {'word_form': 'ji-wekwaaseying', 'fst_analyses': []}, {'word_form': 'iwe', 'fst_analyses': ['iwe+PRONDem+NI+Sg']}, {'word_form': 'ziinzibaakwad', 'fst_analyses': ['ziinzibaakwad+NI+Sg']}, {'word_form': '.', 'fst_analyses': []}]
Gaawiin aapiji ogikendanziin omiikana gaa-onji-wanibizod.	He didn't know his road --  that's why he got lost.	es	[{'word_form': 'gaawiin', 'fst_analyses': ['gaawiin+ADVNeg']}, {'word_form': 'aapiji', 'fst_analyses': ['aapiji+ADVDeg']}, {'word_form': 'ogikendanziin', 'fst_analyses': ['gikendan+VTI+Ind+Neg+Neu+3SgProxSubj+0SgObj']}, {'word_form': 'omiikana', 'fst_analyses': ['miikana+NI+Sg+3SgProxPoss']}, {'word_form': 'gaa-onji-wanibizod', 'fst_analyses': ['ChCnj+PVTense/gii+PVRel/onji+wanibizo+VAI+Cnj+Pos+Neu+3SgProxSubj', 'PVTense/gii+PVRel/onji+wanibizo+VAI+Pcp+Pos+Neu+3SgProxSubj+3SgProxHead', 'PVSub/gaa+PVRel/onji+wanibizo+VAI+Cnj+Pos+Neu+3SgProxSubj']}, {'word_form': '.', 'fst_analyses': []}]
Gego memwech wiindamawaaken. Aazha ogikendaan waa'-izhichiged.	You don't have to tell him. He already knows what to do.	nj	"[{'word_form': 'gego', 'fst_analyses': ['gego+ADVNeg']}, {'word_form': 'memwech', 'fst_analyses': ['memwech+ADVMan']}, {'word_form': 'wiindamawaaken', 'fst_analyses': ['wiindamaw+VTA+Imp+Prb+2SgSubj+3SgProxObj', 'wiindamaw+VTA+Imp+Prb+2SgSubj+3PlProxObj']}, {'word_form': '.', 'fst_analyses': []}, {'word_form': 'aazha', 'fst_analyses': ['aazha+ADVTmp']}, {'word_form': 'ogikendaan', 'fst_analyses': ['gikendan+VTI+Ind+Pos+Neu+3SgProxSubj+0SgObj']}, {'word_form': ""waa'-izhichiged"", 'fst_analyses': [""ChCnj+PVTense/wii'+izhichige+VAI+Cnj+Pos+Neu+3SgProxSubj"", ""PVTense/wii'+izhichige+VAI+Pcp+Pos+Neu+3SgProxSubj+3SgProxHead""]}, {'word_form': '.', 'fst_analyses': []}]"
Gaawiin ingii-gikendanziin waa-izhichigeyaan, gaa-izhi-gagwejitooyaan.	I didn't know what to do, so I tried it.	rg	[{'word_form': 'gaawiin', 'fst_analyses': ['gaawiin+ADVNeg']}, {'word_form': 'ingii-gikendanziin', 'fst_analyses': ['PVTense/gii+gikendam+VAI+Ind+Neg+Neu+1SgSubj', 'PVTense/gii+gikendan+VTI+Ind+Neg+Neu+1SgSubj+0SgObj']}, {'word_form': 'waa-izhichigeyaan', 'fst_analyses': ['ChCnj+PVTense/wii+izhichige+VAI+Cnj+Pos+Neu+1SgSubj']}, {'word_form': ',', 'fst_analyses': []}, {'word_form': 'gaa-izhi-gagwejitooyaan', 'fst_analyses': ['ChCnj+PVTense/gii+PVRel/izhi+gagwejitoon+VTI+Cnj+Pos+Neu+1SgSubj+0SgObj', 'ChCnj+PVTense/gii+PVRel/izhi+gagwejitoon+VTI+Cnj+Pos+Neu+1SgSubj+0PlObj', 'PVSub/gaa+PVRel/izhi+gagwejitoon+VTI+Cnj+Pos+Neu+1SgSubj+0SgObj', 'PVSub/gaa+PVRel/izhi+gagwejitoon+VTI+Cnj+Pos+Neu+1SgSubj+0PlObj']}, {'word_form': '.', 'fst_analyses': []}]
Ogikendaanaawaa gakina gegoo.	They know it all.	es	[{'word_form': 'ogikendaanaawaa', 'fst_analyses': ['gikendan+VTI+Ind+Pos+Neu+3PlProxSubj+0SgObj']}, {'word_form': 'gakina', 'fst_analyses': ['gakina+ADVQnt']}, {'word_form': 'gegoo', 'fst_analyses': ['gegoo+PRONIndf+NI']}, {'word_form': '.', 'fst_analyses': []}]
Bekaa bimibizon aazhawibizowin zaaga'igan gaa-gikendanziwan. Maagizhaa gidaa-bitaabikishin	Go slow going across when you don't know the lake. You might hit a reef.	nj	"[{'word_form': 'bekaa', 'fst_analyses': ['bekaa+ADVMan']}, {'word_form': 'bimibizon', 'fst_analyses': ['bimibizo+VAI+Imp+Sim+2SgSubj']}, {'word_form': 'aazhawibizowin', 'fst_analyses': []}, {'word_form': ""zaaga'igan"", 'fst_analyses': [""zaaga'igan+NI+Sg""]}, {'word_form': 'gaa-gikendanziwan', 'fst_analyses': ['ChCnj+PVTense/gii+gikendam+VAI+Cnj+Neg+Neu+2SgSubj', 'ChCnj+PVTense/gii+gikendan+VTI+Cnj+Neg+Neu+2SgSubj+0SgObj', 'ChCnj+PVTense/gii+gikendan+VTI+Cnj+Neg+Neu+2SgSubj+0PlObj', 'PVSub/gaa+gikendam+VAI+Cnj+Neg+Neu+2SgSubj', 'PVSub/gaa+gikendan+VTI+Cnj+Neg+Neu+2SgSubj+0SgObj', 'PVSub/gaa+gikendan+VTI+Cnj+Neg+Neu+2SgSubj+0PlObj']}, {'word_form': '.', 'fst_analyses': []}, {'word_form': 'maagizhaa', 'fst_analyses': ['maagizhaa+ADVMan']}, {'word_form': 'gidaa-bitaabikishin', 'fst_analyses': ['PVTense/daa+bitaabikishin+VAI+Ind+Pos+Neu+2SgSubj']}]"
Gego izhinoo'waaken giiji-bimaadizii aanawi go gii-bizhishigwaabikak.	Don't aim your gun at a fellow human being even if it is empty.	nj	"[{'word_form': 'gego', 'fst_analyses': ['gego+ADVNeg']}, {'word_form': ""izhinoo'waaken"", 'fst_analyses': [""izhinoo'wi+VTA+Imp+Prb+2SgSubj+3SgProxObj"", ""izhinoo'wi+VTA+Imp+Prb+2SgSubj+3PlProxObj""]}, {'word_form': 'giiji-bimaadizii', 'fst_analyses': []}, {'word_form': 'aanawi', 'fst_analyses': ['aanawi+ADVMan']}, {'word_form': 'go', 'fst_analyses': ['go+PCDisc']}, {'word_form': 'gii-bizhishigwaabikak', 'fst_analyses': ['PVTense/gii+bizhishigwaabikad+VII+Cnj+Pos+Neu+0PlSubj', 'PVTense/gii+bizhishigwaabikad+VII+Cnj+Pos+Neu+0SgSubj']}, {'word_form': '.', 'fst_analyses': []}]"
Ogiji-nibewin daningwaamo bizhiins.	A cat is sleeping on the bed.	nj	[{'word_form': 'ogiji-nibewin', 'fst_analyses': ['ogiji-nibewin+ADVLoc', 'PNLex/ogiji+nibewin+NI+Sg']}, {'word_form': 'daningwaamo', 'fst_analyses': ['daningwaamo+VAI+Ind+Pos+Neu+3SgProxSubj']}, {'word_form': 'bizhiins', 'fst_analyses': ['bizhiw+NA+Dim+ProxSg', 'bizhiins+NA+ProxSg']}, {'word_form': '.', 'fst_analyses': []}]
